repr,task,kind,n_train,n_valid,epochs,baseline,final,best,wall_s,torch_seed,data_frac,aux
R7,elite,ce,6822,1191,60,0.4686,0.5651,0.5676,604,0,1.0,
R7,rest,ce,8249,1484,60,0.4708,0.5216,0.533,714,0,1.0,
R7,route_rest,ce,18774,3270,60,0.4471,0.6095,0.6196,1679,0,1.0,
R7,max_elites,reg,43524,7677,20,0.8652,0.2642,0.2619,1208,0,1.0,
R7,dist_rest,reg,43524,7677,20,1.6594,0.6623,0.6523,1247,0,1.0,
R4L,elite,ce,6822,1191,60,0.4686,1.0,1.0,591,0,1.0,
R4L,rest,ce,8249,1484,60,0.4708,1.0,1.0,623,0,1.0,
R4L,route_rest,ce,18774,3270,60,0.4471,0.7755,0.7875,1368,0,1.0,
R4L,max_elites,reg,43524,7677,20,0.8652,0.1799,0.1792,1081,0,1.0,
R4L,dist_rest,reg,43524,7677,20,1.6594,0.0109,0.0109,1080,0,1.0,
R5L,elite,ce,6822,1191,60,0.4686,1.0,1.0,523,0,1.0,
R5L,rest,ce,8249,1484,60,0.4708,1.0,1.0,633,0,1.0,
R5L,route_rest,ce,18774,3270,60,0.4471,0.9306,0.9324,1639,0,1.0,
R5L,max_elites,reg,43524,7677,20,0.8652,0.0053,0.0053,1298,0,1.0,
R5L,dist_rest,reg,43524,7677,20,1.6594,0.0133,0.0133,1291,0,1.0,
R0,route_rest,ce,18774,3270,60,0.4471,0.9547,0.9554,1451,0,1.0,dest_room
R0,elite,ce,6822,1191,60,0.4686,0.9983,0.9992,557,0,1.0,dest_room
R0,route_rest,ce,18774,3270,60,0.4471,0.9394,0.944,1420,0,1.0,queries
R0,elite,ce,6822,1191,60,0.4686,0.9958,0.9975,479,0,1.0,queries
R0,route_rest,ce,18774,3270,60,0.4471,0.9358,0.9398,1493,0,1.0,"dest_room,queries"
R0,elite,ce,6822,1191,60,0.4686,0.9891,0.9924,557,0,1.0,"dest_room,queries"
R1,route_rest,ce,18774,3270,60,0.4471,0.8875,0.8887,1340,0,1.0,queries
