seed,won,floor
50000010,0,8
50000014,0,11
50000000,0,16
50000006,0,16
50000013,0,23
50000024,0,33
50000007,0,33
50000002,0,33
50000018,0,33
50000032,0,22
50000015,0,40
50000003,0,42
50000022,0,50
50000016,0,50
50000028,0,50
50000031,0,40
50000011,0,48
50000019,0,50
50000023,0,50
50000021,0,55
50000009,1,51
50000025,1,55
50000012,0,55
50000029,1,55
50000004,0,55
50000020,1,55
50000035,0,33
50000017,0,55
50000039,0,31
50000005,1,55
50000030,0,55
50000027,1,55
50000008,1,55
50000033,0,55
50000058,0,12
50000034,0,55
50000052,0,23
50000042,0,45
50000026,0,55
50000001,1,55
50000047,0,46
50000043,0,55
50000038,1,55
50000044,0,50
50000037,1,55
50000041,0,55
50000046,1,55
50000040,0,55
50000049,0,50
50000065,0,33
50000060,0,50
50000048,1,55
50000056,0,55
50000045,1,55
50000036,0,55
50000050,0,55
50000068,0,33
50000053,1,55
50000063,0,55
50000054,1,55
50000055,1,55
50000057,1,55
50000051,1,55
50000059,1,55
50000062,0,55
50000082,0,24
50000061,1,55
50000085,0,23
50000084,0,28
50000081,0,29
50000064,0,55
50000089,0,16
50000067,0,55
50000092,0,16
50000069,0,55
50000066,0,55
50000070,1,55
50000075,1,55
50000077,0,50
50000073,0,55
50000079,0,50
50000072,1,55
50000080,0,55
50000071,1,55
50000103,0,22
50000076,1,55
50000078,1,51
50000087,0,50
50000107,0,27
50000088,0,55
50000109,0,23
50000104,0,33
50000091,0,45
50000074,1,55
50000086,1,55
50000108,0,30
50000090,1,55
50000096,0,55
50000098,0,41
50000095,0,54
50000120,0,12
50000105,0,55
50000093,1,55
50000083,1,55
50000110,0,40
50000099,0,55
50000094,0,55
50000101,1,55
50000100,1,55
50000128,0,16
50000097,1,55
50000112,0,50
50000102,1,55
50000124,0,33
50000140,0,8
50000137,0,16
50000106,1,55
50000111,0,55
50000113,0,55
50000116,0,55
50000133,0,30
50000147,0,7
50000135,0,33
50000126,0,39
50000122,0,48
50000115,0,55
50000119,0,55
50000132,0,42
50000114,1,55
50000118,0,55
50000121,0,55
50000125,0,55
50000117,0,55
50000123,0,55
50000130,0,50
50000129,0,55
50000136,0,55
50000127,0,55
50000139,0,55
50000143,0,50
50000145,0,33
50000162,0,23
50000166,0,16
50000138,1,55
50000134,1,55
50000141,1,51
50000146,1,51
50000148,0,55
50000131,1,55
50000150,1,55
50000171,0,14
50000152,0,55
50000144,1,55
50000161,0,40
50000163,0,55
50000149,1,55
50000173,0,25
50000155,0,55
50000168,0,33
50000165,0,42
50000157,0,55
50000154,1,55
50000142,1,55
50000158,0,55
50000151,1,55
50000156,1,55
50000153,1,55
50000159,0,55
50000182,0,23
50000167,0,55
50000174,0,38
50000169,0,50
50000186,0,22
50000164,1,55
50000170,0,50
50000179,0,33
50000160,0,55
50000187,0,33
50000192,0,28
50000199,0,16
50000188,0,33
50000201,0,16
50000189,0,37
50000193,0,33
50000196,0,33
50000178,1,55
50000202,0,22
50000181,0,55
50000177,1,55
50000176,0,55
50000203,0,28
50000205,0,28
50000195,0,39
50000172,1,55
50000185,0,55
50000175,0,50
50000216,0,11
50000211,0,21
50000184,1,55
50000180,1,55
50000190,0,55
50000183,0,55
50000194,0,55
50000207,0,40
50000210,0,33
50000197,1,55
50000191,0,55
50000212,0,33
50000200,0,50
50000208,1,51
50000219,0,33
50000204,0,55
50000232,0,21
50000209,0,50
50000225,0,33
50000241,0,6
50000229,0,33
50000206,1,55
50000220,0,33
50000198,1,55
50000222,0,50
50000245,0,13
50000218,0,55
50000224,0,50
50000215,0,55
50000233,0,33
50000213,1,55
50000246,0,16
50000227,0,55
50000231,0,47
50000223,0,50
50000221,1,55
50000217,1,55
50000247,0,23
50000228,0,55
50000261,0,12
50000230,1,55
50000235,1,51
50000252,0,33
50000234,1,55
50000236,0,55
50000214,1,55
50000244,0,50
50000226,1,55
50000239,0,55
50000254,0,33
50000259,0,27
50000238,1,55
50000263,0,33
50000248,0,55
50000243,0,55
50000273,0,11
50000255,0,55
50000274,0,16
50000240,0,55
50000253,1,55
50000256,0,55
50000242,0,55
50000250,1,55
50000249,1,55
50000251,0,55
50000237,0,55
50000257,1,55
50000281,0,22
50000262,0,55
50000279,0,23
50000268,0,45
50000260,0,50
50000258,1,55
50000264,1,55
50000280,0,33
50000265,1,55
50000266,1,55
50000269,0,48
50000277,0,41
50000271,1,55
50000284,0,33
50000267,0,55
50000272,1,55
50000282,0,50
50000270,1,55
50000275,1,55
50000278,0,55
50000307,0,16
50000276,0,55
50000294,0,40
50000286,1,55
50000303,0,33
50000285,0,55
50000287,0,55
50000291,1,55
50000304,0,42
50000295,0,55
50000293,1,51
50000308,0,33
50000292,1,55
50000305,0,33
50000283,1,55
50000296,1,55
50000288,0,55
50000309,0,45
50000297,1,51
50000289,0,55
50000311,0,44
50000290,1,55
50000299,1,55
50000298,1,55
50000314,0,33
50000302,1,55
50000301,0,55
50000306,0,55
50000328,0,16
50000312,0,55
50000331,0,23
50000338,0,16
50000326,0,33
50000335,0,21
50000327,0,33
50000313,0,55
50000310,1,55
50000300,0,55
50000316,0,55
50000319,0,55
50000318,0,55
50000340,0,33
50000325,1,55
50000321,1,55
50000342,0,33
50000329,0,55
50000324,1,55
50000317,1,55
50000333,0,55
50000332,0,55
50000322,0,55
50000315,1,55
50000323,0,54
50000337,1,55
50000351,0,33
50000341,0,55
50000334,1,55
50000339,0,55
50000336,1,55
50000350,0,40
50000320,1,55
50000358,0,31
50000344,0,55
50000369,0,16
50000345,0,50
50000365,0,21
50000330,1,55
50000343,1,55
50000347,1,55
50000364,0,33
50000363,0,33
50000370,0,33
50000379,0,11
50000376,0,16
50000346,1,55
50000352,0,54
50000349,0,55
50000355,1,55
50000357,1,55
50000360,0,55
50000374,0,33
50000388,0,16
50000386,0,16
50000356,0,55
50000353,1,55
50000359,1,55
50000381,0,25
50000384,0,25
50000361,0,55
50000377,0,33
50000401,0,6
50000367,0,55
50000392,0,16
50000348,1,55
50000368,0,55
50000354,1,55
50000371,0,50
50000362,0,55
50000395,0,16
50000385,0,33
50000380,0,50
50000390,0,33
50000373,1,55
50000375,0,55
50000366,1,55
50000403,0,23
50000416,0,11
50000382,1,55
50000399,0,35
50000378,1,55
50000387,1,55
50000389,0,54
50000411,0,31
50000407,0,40
50000396,0,55
50000415,0,33
50000414,0,33
50000391,1,55
50000372,1,55
50000398,1,55
50000421,0,25
50000383,0,55
50000394,1,55
50000393,0,55
50000433,0,8
50000400,0,55
50000404,0,54
50000402,1,55
50000429,0,16
50000405,0,55
50000408,0,55
50000434,0,16
50000425,0,27
50000413,0,55
50000397,1,55
50000409,1,55
50000410,1,55
50000412,1,55
50000423,0,33
50000406,1,55
50000432,0,33
50000435,0,25
50000418,0,55
50000417,0,55
50000431,0,33
50000422,0,50
50000420,0,55
50000424,0,46
50000419,0,55
50000427,0,55
50000426,0,54
50000456,0,22
50000428,0,55
50000440,0,40
50000451,0,29
50000436,0,50
50000438,0,54
50000459,0,23
50000457,0,27
50000430,1,55
50000462,0,16
50000452,0,42
50000437,1,55
50000439,1,55
50000447,0,55
50000455,0,44
50000467,0,23
50000446,0,55
50000444,0,55
50000450,0,50
50000445,1,55
50000441,1,55
50000442,1,51
50000448,0,55
50000449,0,55
50000454,0,55
50000474,0,16
50000453,1,51
50000465,0,33
50000464,0,42
50000471,0,33
50000458,0,18
50000443,0,55
50000461,0,55
50000477,0,30
50000473,0,33
50000460,1,55
50000488,0,16
50000463,0,55
50000468,0,50
50000489,0,25
50000483,0,31
50000472,0,55
50000491,0,33
50000482,0,33
50000480,1,51
50000470,0,54
50000492,0,33
50000466,1,55
50000481,0,50
50000504,0,14
50000469,1,51
50000476,1,55
50000479,0,55
50000484,0,55
50000498,0,40
50000505,0,24
50000502,0,33
50000515,0,16
50000508,0,33
50000494,0,55
50000499,0,55
50000493,0,55
50000490,0,55
50000500,1,51
50000475,0,33
50000478,1,55
50000486,1,55
50000512,0,33
50000520,0,23
50000501,0,55
50000524,0,16
50000485,0,55
50000487,1,55
50000496,0,55
50000495,0,55
50000503,1,55
50000507,0,55
50000497,1,55
50000528,0,16
50000510,0,54
50000525,0,33
50000509,0,55
50000538,0,16
50000513,1,55
50000530,0,33
50000506,0,55
50000516,1,55
50000523,0,33
50000544,0,8
50000534,0,19
50000536,0,23
50000533,0,27
50000514,1,55
50000511,1,55
50000541,0,24
50000518,1,55
50000526,0,50
50000532,0,45
50000540,0,25
50000517,0,55
50000537,0,33
50000543,0,25
50000521,1,55
50000519,1,55
50000531,0,55
50000527,0,55
50000522,1,55
50000529,1,55
50000548,0,42
50000565,0,25
50000560,0,27
50000562,0,28
50000535,1,55
50000545,0,55
50000539,1,55
50000554,0,33
50000542,0,55
50000577,0,8
50000555,0,50
50000550,0,48
50000568,0,30
50000547,0,55
50000549,0,50
50000551,0,55
50000569,0,33
50000556,0,55
50000578,0,16
50000585,0,8
50000557,0,55
50000581,0,23
50000570,0,33
50000572,0,33
50000576,0,33
50000592,0,6
50000561,1,55
50000564,1,55
50000571,0,33
50000552,1,55
50000583,0,25
50000590,0,16
50000558,0,55
50000553,1,51
50000546,1,55
50000589,0,23
50000559,1,55
50000566,1,55
50000567,0,55
50000579,0,45
50000593,0,22
50000574,1,55
50000588,0,33
50000563,0,55
50000599,0,33
50000580,0,55
50000587,0,55
50000582,0,55
50000575,1,55
50000584,1,55
50000596,0,50
50000595,1,55
50000573,1,55
50000594,0,50
50000586,1,55
50000598,0,55
50000597,1,55
50000591,1,55
