seed,won,floor
50000000,0,10
50000010,0,14
50000019,0,24
50000013,0,28
50000009,0,27
50000027,0,30
50000012,0,33
50000024,0,33
50000022,0,46
50000003,0,41
50000035,0,16
50000007,1,55
50000018,0,54
50000014,0,44
50000002,0,55
50000004,0,50
50000029,0,55
50000005,0,55
50000023,1,55
50000028,0,55
50000020,1,55
50000016,0,55
50000021,1,51
50000008,1,55
50000015,1,55
50000006,0,55
50000030,1,55
50000032,0,50
50000033,0,55
50000001,1,55
50000025,0,50
50000017,0,55
50000011,1,55
50000031,0,55
50000026,0,54
50000043,0,33
50000047,0,29
50000058,0,12
50000034,0,55
50000040,0,40
50000062,0,16
50000052,0,33
50000046,0,44
50000050,0,33
50000041,0,44
50000042,0,55
50000051,0,33
50000038,0,55
50000037,1,55
50000077,0,6
50000068,0,23
50000049,0,55
50000045,1,55
50000036,1,51
50000039,1,55
50000079,0,12
50000081,0,8
50000056,0,50
50000048,1,55
50000054,1,55
50000044,0,55
50000065,0,40
50000060,0,55
50000057,1,55
50000063,0,55
50000055,0,55
50000053,1,55
50000082,0,16
50000064,0,55
50000067,0,50
50000061,1,51
50000092,0,16
50000084,0,29
50000074,0,42
50000070,0,55
50000075,1,55
50000066,1,55
50000096,0,16
50000059,1,55
50000073,0,50
50000071,1,55
50000069,1,55
50000102,0,16
50000072,0,55
50000091,0,33
50000076,1,55
50000080,0,50
50000087,0,55
50000094,0,44
50000085,1,55
50000090,1,55
50000088,0,54
50000107,0,33
50000086,1,55
50000105,0,41
50000095,0,55
50000089,0,55
50000098,0,40
50000078,1,55
50000100,0,55
50000093,1,55
50000099,0,50
50000118,0,21
50000123,0,16
50000103,0,55
50000104,0,55
50000128,0,16
50000083,1,55
50000101,1,55
50000108,0,55
50000097,1,55
50000127,0,23
50000109,1,55
50000110,1,55
50000113,0,55
50000116,0,50
50000121,0,33
50000106,1,55
50000111,1,55
50000122,0,42
50000112,1,55
50000137,0,22
50000115,0,55
50000147,0,7
50000114,1,55
50000133,0,33
50000119,0,55
50000138,0,23
50000124,0,50
50000135,0,33
50000117,0,55
50000146,0,27
50000132,0,55
50000130,0,50
50000125,1,55
50000120,1,55
50000129,0,55
50000141,0,33
50000139,0,50
50000142,0,33
50000126,1,55
50000152,0,33
50000134,0,55
50000166,0,13
50000159,0,29
50000150,0,42
50000162,0,23
50000143,0,54
50000131,1,55
50000136,1,55
50000157,0,44
50000149,0,45
50000171,0,16
50000145,0,55
50000148,0,55
50000144,0,55
50000184,0,6
50000158,0,55
50000156,0,55
50000154,1,55
50000169,0,33
50000161,0,44
50000180,0,16
50000155,0,55
50000183,0,16
50000163,0,55
50000153,1,55
50000140,1,55
50000177,0,33
50000186,0,22
50000165,0,55
50000160,0,55
50000151,1,55
50000170,0,54
50000199,0,10
50000179,0,36
50000167,0,55
50000191,0,24
50000189,0,33
50000164,1,55
50000201,0,16
50000172,0,55
50000193,0,33
50000204,0,16
50000178,1,55
50000173,0,55
50000181,0,55
50000176,0,55
50000168,0,55
50000174,0,55
50000187,0,55
50000185,0,55
50000182,1,55
50000211,0,20
50000175,1,55
50000205,0,33
50000190,0,54
50000188,0,55
50000195,1,55
50000194,0,55
50000197,1,55
50000192,1,55
50000202,0,50
50000209,0,40
50000207,0,50
50000196,0,55
50000212,0,40
50000208,1,55
50000222,0,33
50000206,1,55
50000203,0,55
50000210,1,55
50000200,1,55
50000198,1,55
50000241,0,6
50000224,0,42
50000232,0,29
50000214,0,50
50000218,1,55
50000215,0,55
50000233,0,33
50000219,0,55
50000216,0,55
50000221,0,54
50000251,0,6
50000225,0,54
50000231,0,40
50000217,1,55
50000213,1,55
50000223,0,55
50000229,0,55
50000228,1,55
50000252,0,24
50000246,0,33
50000235,1,51
50000261,0,12
50000227,1,55
50000264,0,6
50000234,1,55
50000239,0,55
50000247,0,45
50000226,1,55
50000220,1,55
50000259,0,25
50000245,0,50
50000238,0,55
50000263,0,16
50000230,1,55
50000237,0,55
50000258,0,40
50000244,1,55
50000243,0,55
50000273,0,11
50000260,0,40
50000257,0,50
50000255,0,55
50000250,0,55
50000240,1,55
50000254,1,51
50000242,0,55
50000248,0,55
50000253,1,55
50000256,0,55
50000249,1,55
50000281,0,16
50000275,0,33
50000278,0,33
50000268,0,47
50000282,0,33
50000262,0,55
50000265,0,55
50000277,0,33
50000284,0,33
50000236,0,50
50000269,0,54
50000288,0,33
50000266,1,55
50000271,0,55
50000272,1,55
50000270,1,55
50000290,0,33
50000274,1,55
50000276,0,55
50000267,1,55
50000285,1,55
50000279,0,55
50000286,1,55
50000287,0,54
50000291,1,55
50000294,0,55
50000295,0,55
50000293,1,55
50000280,0,55
50000302,0,33
50000283,0,55
50000303,0,33
50000289,0,55
50000292,1,55
50000313,0,24
50000300,0,45
50000301,0,44
50000299,0,55
50000309,0,40
50000314,0,27
50000304,1,55
50000328,0,16
50000297,1,55
50000298,1,55
50000296,1,55
50000321,0,33
50000307,0,50
50000333,0,16
50000311,0,55
50000305,1,55
50000308,0,55
50000306,1,55
50000334,0,23
50000335,0,19
50000312,1,55
50000325,0,48
50000315,1,55
50000318,0,55
50000319,1,55
50000317,0,55
50000342,0,23
50000316,0,55
50000310,1,55
50000345,0,16
50000322,1,55
50000324,0,55
50000329,1,55
50000332,0,54
50000338,0,33
50000327,1,55
50000323,1,55
50000326,1,55
50000331,0,55
50000320,1,55
50000339,0,50
50000336,0,55
50000330,0,55
50000341,1,55
50000340,0,46
50000358,0,28
50000355,0,33
50000337,1,55
50000365,0,23
50000346,0,55
50000343,1,55
50000344,0,55
50000351,0,50
50000347,1,55
50000349,1,55
50000350,1,55
50000370,0,33
50000352,0,55
50000380,0,7
50000353,1,55
50000360,0,55
50000356,0,55
50000357,1,55
50000374,0,33
50000348,1,55
50000367,0,55
50000364,0,55
50000381,0,25
50000354,1,55
50000361,1,55
50000359,1,55
50000384,0,24
50000383,0,28
50000362,1,55
50000363,0,55
50000377,0,46
50000375,0,50
50000368,1,55
50000369,1,55
50000388,0,33
50000386,0,33
50000399,0,16
50000393,0,23
50000390,0,33
50000376,0,55
50000373,1,55
50000371,1,55
50000366,1,55
50000372,0,55
50000379,1,55
50000382,1,55
50000395,0,33
50000387,0,55
50000411,0,22
50000378,1,55
50000409,0,24
50000389,1,55
50000385,1,55
50000404,0,33
50000391,0,55
50000415,0,27
50000392,1,55
50000398,0,55
50000427,0,8
50000400,0,50
50000414,0,33
50000408,0,44
50000405,1,51
50000396,1,55
50000394,0,55
50000407,0,50
50000397,0,55
50000401,0,55
50000425,0,19
50000429,0,16
50000403,0,55
50000413,0,50
50000433,0,20
50000402,1,55
50000418,0,46
50000434,0,22
50000422,0,33
50000432,0,29
50000442,0,16
50000412,1,55
50000410,1,55
50000417,0,55
50000419,1,55
50000440,0,33
50000423,0,50
50000416,1,55
50000421,1,55
50000420,0,55
50000426,0,55
50000406,1,55
50000456,0,12
50000430,1,55
50000428,0,54
50000459,0,10
50000424,1,55
50000450,0,33
50000438,1,55
50000435,0,54
50000447,0,41
50000437,0,55
50000436,0,50
50000462,0,16
50000439,1,55
50000431,1,55
50000457,0,30
50000453,0,40
50000444,0,54
50000448,0,55
50000445,1,55
50000460,0,33
50000465,0,30
50000441,1,55
50000467,0,23
50000449,0,54
50000446,1,55
50000443,0,55
50000454,0,55
50000451,1,55
50000464,0,42
50000455,0,55
50000471,0,33
50000452,1,55
50000474,0,27
50000476,0,33
50000477,0,30
50000463,0,55
50000483,0,16
50000487,0,16
50000468,0,45
50000461,1,55
50000498,0,16
50000466,1,55
50000480,0,47
50000470,0,48
50000458,0,50
50000488,0,33
50000473,0,55
50000479,0,55
50000472,1,55
50000495,0,33
50000489,0,42
50000494,0,40
50000511,0,7
50000481,0,54
50000484,0,55
50000505,0,24
50000492,0,50
50000502,0,33
50000490,0,55
50000491,0,55
50000478,1,55
50000469,1,55
50000486,0,54
50000508,0,33
50000493,1,55
50000500,1,51
50000499,0,55
50000485,1,55
50000482,0,55
50000520,0,23
50000501,1,51
50000528,0,6
50000496,1,55
50000510,0,44
50000527,0,16
50000503,1,55
50000535,0,10
50000506,1,55
50000519,0,33
50000530,0,23
50000504,1,55
50000525,0,33
50000523,0,33
50000526,0,33
50000513,0,55
50000507,1,55
50000534,0,23
50000497,1,55
50000544,0,8
50000515,1,55
50000509,0,55
50000532,0,31
50000538,0,22
50000529,0,33
50000541,0,16
50000550,0,10
50000514,0,55
50000512,1,55
50000516,0,55
50000521,1,55
50000524,0,50
50000475,1,55
50000517,0,55
50000536,0,33
50000555,0,16
50000537,0,33
50000518,1,55
50000531,0,55
50000557,0,25
50000533,0,55
50000542,0,50
50000543,0,46
50000522,1,55
50000545,1,55
50000551,0,50
50000558,0,33
50000577,0,8
50000548,0,55
50000560,0,46
50000569,0,33
50000540,0,55
50000539,1,55
50000556,0,55
50000561,0,42
50000547,1,55
50000572,0,24
50000552,1,55
50000559,0,48
50000574,0,27
50000553,1,55
50000562,0,55
50000554,1,55
50000587,0,16
50000549,1,55
50000570,0,42
50000565,1,55
50000564,1,55
50000590,0,16
50000546,1,55
50000583,0,27
50000568,0,50
50000598,0,11
50000563,0,55
50000593,0,22
50000566,1,55
50000592,0,33
50000571,1,55
50000599,0,33
50000579,0,55
50000567,0,55
50000575,1,51
50000576,0,55
50000582,0,55
50000581,0,54
50000589,0,50
50000573,0,55
50000584,0,55
50000586,1,55
50000594,0,50
50000578,0,55
50000595,0,55
50000596,0,55
50000580,0,55
50000588,1,55
50000597,1,55
50000591,1,55
50000585,1,55
