seed,won,floor
50000000,0,12
50000024,0,16
50000019,0,22
50000012,0,33
50000016,0,33
50000008,0,33
50000003,0,33
50000001,0,33
50000018,0,38
50000010,0,35
50000030,0,33
50000006,0,36
50000032,0,24
50000022,0,50
50000035,0,16
50000028,1,51
50000040,0,16
50000021,0,54
50000007,1,55
50000023,0,55
50000015,0,50
50000025,0,55
50000029,1,55
50000002,0,55
50000033,0,33
50000020,1,55
50000045,0,13
50000005,0,55
50000004,0,55
50000013,1,55
50000031,0,50
50000014,1,55
50000049,0,16
50000055,0,13
50000009,0,55
50000058,0,12
50000011,1,55
50000038,0,33
50000026,0,55
50000027,0,55
50000017,0,55
50000039,0,33
50000052,0,25
50000047,0,33
50000042,0,50
50000065,0,16
50000036,0,55
50000037,0,55
50000043,0,55
50000034,1,55
50000041,0,55
50000060,0,46
50000056,0,50
50000048,1,55
50000068,0,33
50000082,0,6
50000046,1,55
50000044,0,55
50000057,1,55
50000071,0,40
50000061,0,54
50000077,0,33
50000054,1,55
50000063,0,55
50000053,1,55
50000051,1,55
50000062,1,55
50000050,1,55
50000070,0,55
50000064,1,55
50000094,0,10
50000059,1,55
50000067,0,55
50000066,1,55
50000075,0,55
50000084,0,33
50000073,0,55
50000069,1,55
50000085,0,33
50000072,1,55
50000086,0,33
50000080,0,54
50000091,0,27
50000092,0,23
50000090,0,33
50000098,0,23
50000079,1,55
50000088,0,33
50000076,1,55
50000078,0,50
50000074,0,55
50000087,0,50
50000120,0,12
50000102,0,33
50000113,0,20
50000107,0,31
50000081,0,55
50000108,0,33
50000093,0,55
50000112,0,33
50000099,0,55
50000100,1,55
50000095,1,55
50000105,0,55
50000123,0,33
50000103,1,55
50000089,1,55
50000118,0,46
50000104,0,55
50000116,0,50
50000083,1,55
50000101,1,55
50000128,0,16
50000109,0,55
50000119,0,55
50000130,0,16
50000111,0,55
50000096,1,55
50000121,1,51
50000147,0,7
50000137,0,16
50000106,0,55
50000114,1,55
50000134,0,22
50000117,0,55
50000115,1,55
50000140,0,22
50000133,0,33
50000138,0,21
50000110,1,55
50000122,0,55
50000125,1,55
50000097,1,55
50000124,1,55
50000132,0,48
50000142,0,30
50000146,0,33
50000159,0,13
50000136,0,42
50000143,0,33
50000129,1,55
50000126,1,55
50000135,0,50
50000152,0,31
50000139,0,50
50000166,0,16
50000127,1,55
50000171,0,12
50000150,0,50
50000161,0,33
50000148,0,55
50000145,0,55
50000173,0,21
50000154,0,48
50000167,0,33
50000141,0,55
50000131,1,55
50000149,1,55
50000144,1,55
50000156,0,55
50000158,0,50
50000160,0,38
50000155,0,55
50000153,1,55
50000151,1,55
50000165,0,50
50000163,1,55
50000186,0,19
50000162,0,55
50000189,0,25
50000188,0,24
50000157,0,55
50000169,1,55
50000181,0,33
50000164,1,55
50000170,1,55
50000199,0,16
50000193,0,33
50000168,0,55
50000174,0,55
50000172,1,55
50000178,1,55
50000176,1,55
50000184,0,55
