budget,limit,lossDamageWeight,exploration,explorationChance,monsterDamage,lossAbsoluteHp,cardEps,potionEps,mean,winrate,avghp,n
1000,1000,0.000000,25.000000,25.000000,37.000000,0,0,0,2.308,0.786,34.3015,1000
1000,1000,0.082941,20.254413,15.468320,37.000000,0,82,41,10.473,0.818,34.165,1000
1000,1000,0.072785,55.751292,44.397553,37.000000,1,386,91,8.086,0.814,34.3538,1000
1000,1000,0.053797,17.297747,17.008242,37.000000,0,211,5,7.79,0.806,34.3561,1000
1000,1000,0.088098,36.187435,53.036528,37.000000,1,365,174,7.138,0.812,32.6367,1000
1000,1000,0.034341,49.047860,44.251120,37.000000,1,241,245,7.053,0.81,34.9519,1000
1000,1000,0.055014,50.273365,36.208980,37.000000,1,397,59,6.949,0.807,34.7423,1000
1000,1000,0.029477,16.581467,18.981138,37.000000,0,124,1,6.66,0.802,34.0973,1000
1000,1000,0.072861,19.182328,28.006873,37.000000,0,188,37,6.521,0.802,34.0536,1000
1000,1000,0.083404,25.958825,3.001028,21.196865,0,37,74,-6.162,0.762,34.2362,1000
1000,1000,0.069112,9.847537,15.070858,28.339153,1,81,352,-1.135,0.78,34.2205,1000
1000,1000,0.005478,22.357312,10.472426,40.079988,0,79,321,0.403,0.787,34.7662,1000
1000,1000,0.193652,7.671769,23.870073,88.263824,1,34,15,-8.31,0.751,32.2703,1000
1000,1000,0.033966,41.649615,4.027851,28.474195,1,213,277,-5.283,0.769,33.7295,1000
1000,1000,0.063103,23.457383,36.558998,10.464931,1,396,300,6.169,0.806,33.5025,1000
1000,1000,0.056089,31.915183,4.087158,30.433948,1,117,115,-1.984,0.779,33.8755,1000
1000,1000,0.026006,3.179203,22.924858,16.919405,0,197,21,-18.525,0.714,32.0616,1000
1000,1000,0.114824,4.656070,17.531757,56.907053,0,166,278,-13.667,0.725,35.3559,1000
1000,1000,0.082836,3.484273,14.939586,52.042090,1,378,235,-10.049,0.747,33.7055,1000
1000,1000,0.180680,4.528767,4.553276,74.356945,0,66,371,-68.33,0.512,44.4961,1000
1000,1000,0.069553,28.441358,26.403799,89.794010,1,301,139,3.255,0.796,34.5038,1000
1000,1000,0.053986,43.923415,10.816350,109.960646,1,249,46,-2.167,0.777,34.2574,1000
1000,1000,0.189898,11.547034,16.967720,27.571068,0,362,230,1.644,0.787,35.4346,1000
1000,1000,0.000574,19.056595,7.981712,37.050257,1,143,364,-1.966,0.779,34.4596,1000
1000,1000,0.124672,3.145612,48.567637,55.667664,1,69,54,-22.852,0.717,23.0432,1000
1000,1000,0.186519,24.193716,3.655859,65.355412,1,370,285,-5.109,0.768,34.0651,1000
1000,1000,0.024854,3.184094,3.245059,10.728718,0,344,216,-4.706,0.768,33.7357,1000
1000,1000,0.110564,37.379088,4.351855,20.011968,1,388,224,-4.917,0.77,34.1351,1000
1000,1000,0.003729,33.019339,6.028757,74.304102,0,346,299,-14.103,0.726,36.2975,1000
1000,1000,0.111248,4.514957,3.589847,13.519218,0,43,90,-4.021,0.768,34.276,1000
1000,1000,0.117045,26.377786,13.806939,89.078899,0,5,117,-64.6,0.522,44.454,1000
1000,1000,0.066535,35.134117,15.430388,43.775546,0,319,12,2.013,0.787,34.2859,1000
1000,1000,0.083064,40.042617,54.480686,35.051762,1,268,145,6.884,0.811,32.3083,1000
1000,1000,0.085463,25.312201,41.820903,38.619853,1,397,176,6.732,0.811,32.2182,1000
1000,1000,0.087970,16.870043,11.656292,31.954268,0,42,109,2.553,0.79,35.1051,1000
1000,1000,0.083845,53.629612,30.926649,14.031738,1,377,129,1.976,0.792,34.7677,1000
1000,1000,0.033221,9.364740,13.029843,33.239769,0,300,54,4.83,0.799,34.0751,1000
1000,1000,0.068007,25.415817,8.916952,44.327033,0,164,14,0.947,0.783,34.3065,1000
1000,1000,0.106998,35.940226,26.261593,17.574719,0,21,71,3.329,0.793,35.314,1000
1000,1000,0.160858,34.255692,41.190831,45.541626,1,293,63,6.895,0.807,34.3321,1000
1000,1000,0.112396,9.628686,15.788621,26.843121,0,241,17,3.91,0.793,34.5095,1000
1000,1000,0.015367,34.727492,37.789155,46.949941,1,181,251,8.928,0.818,33.8533,1000
1000,1000,0.021375,24.261209,25.350555,74.242779,1,199,180,-0.188,0.782,34.9373,1000
1000,1000,0.028050,27.315579,25.425502,55.681982,1,235,362,2.437,0.794,34.7443,1000
1000,1000,0.015134,41.295439,43.477128,20.185201,0,228,273,4.819,0.801,35.6991,1000
1000,1000,0.004873,43.061306,59.471460,44.788040,1,372,130,3.157,0.795,32.9509,1000
1000,1000,0.046570,42.974275,30.584581,23.594340,1,131,296,5.168,0.805,34.5826,1000
1000,1000,0.140113,33.549133,41.255771,58.442599,0,391,324,-12.23,0.728,37.4602,1000
1000,1000,0.000006,42.143699,31.934022,36.590638,1,77,199,6.61,0.81,33.9716,1000
1000,1000,0.007094,18.373315,54.464863,37.008290,1,218,195,-6.563,0.772,26.7876,1000
1000,1000,0.102310,44.884417,41.475755,67.244462,1,368,65,6.075,0.804,34.6978,1000
1000,1000,0.053723,56.620724,46.623451,49.160512,1,334,315,6.124,0.809,35.0569,1000
1000,1000,0.060568,47.764797,29.198793,40.184065,1,212,204,3.842,0.8,34.58,1000
1000,1000,0.086984,12.792964,30.726569,75.506386,0,211,31,-19.706,0.692,34.3208,1000
1000,1000,0.066469,35.262164,53.790723,30.311047,1,374,49,4.284,0.8,32.0763,1000
1000,1000,0.062319,32.068142,59.142275,57.097634,1,131,255,-1.172,0.789,28.7199,1000
1000,1000,0.156258,38.594080,59.455544,45.343426,1,343,207,7.262,0.816,30.6434,1000
